Rank,Institution Name,City location of institution_x,Average Class Size,City location of institution_y,Institution's internet website address (HD2016),Control of institution (HD2016),State abbreviation (HD2016),Level of institution (HD2016),Degree of urbanization (Urban-centric locale) (HD2016),Institutional category (HD2016),Bachelor's degree (IC2007),Full-time retention rate  2015 (EF2015D),Grand total (C2016_A  First major  Grand total  Bachelor's degree),AgeDiversityIndex,GenderDiversityIndex,RaceDiversityIndex,IncomeDiversityIndex,MajorDiversityIndex,SAT_ACT_DiversityIndex,InstateOutstateDiversityIndex,Average Graduation rate - bachelor's degree within 200% of normal time (GR200_15),AdmissionsDiversityIndex,ApplicantsDiversityIndex
15,New York University,New York,30.325,New York,www.nyu.edu,2,NY,1,11,2,1,93,5914,0.083296327,0.49040907,0.781571954,0.444951738,0.85601651,0.029034505,0.500003586,246,0.499535435,0.484977368
,University of California-Santa Barbara,Santa Barbara,39.925,Santa Barbara,www.ucsb.edu,1,CA,1,22,2,1,93,5235,0.044021381,0.49842613,0.770814598,0.432336243,0.839333488,0.088204321,0.462192689,231,0.294179766,0.497703193
23,University of Southern California,Los Angeles,34.775,Los Angeles,www.usc.edu/,2,CA,1,11,2,1,96,5138,0.070491492,0.499973394,0.778249155,0.443823414,0.818999161,0.082976242,0.500003586,261,0.762690249,0.497895912
9,Columbia University in the City of New York,New York,27.4,New York,www.columbia.edu,2,NY,1,11,2,1,96,2221,0.306092141,0.498421603,0.757634421,0.452627854,0.845394392,0.08867936,0.500003483,275,0.903284357,0.496852096
70,University of Notre Dame,Notre Dame,32.35,Notre Dame,www.nd.edu,2,IN,1,21,2,1,98,2135,0.003303826,0.499143944,0.539024239,0.441010521,0.799499417,0.043817579,0.500003729,280,0.83609694,0.499988224
39,Boston University,Boston,33.05,Boston,www.bu.edu,2,MA,1,11,2,1,93,4230,0.061774633,0.47883158,0.734546218,0.442730644,0.85545386,0.089460378,0.500003673,249,0.131373342,0.487091679
22,Carnegie Mellon University,Pittsburgh,31.875,Pittsburgh,www.cmu.edu/,2,PA,1,11,2,1,98,1336,0.033480872,0.494879778,0.728585232,0.460438187,0.865198754,0.083264346,0.500003678,252,0.646252908,0.467017976
74,Emory University,Atlanta,31.075,Atlanta,www.emory.edu,2,GA,1,21,2,1,94,1933,0.060666627,0.486888771,0.736100682,0.449148059,0.834143268,0.090127204,0.500003841,267,0.521222183,0.482429401
64,Vanderbilt University,Nashville,30.2,Nashville,www.vanderbilt.edu,2,TN,1,11,2,1,97,1723,0.006373055,0.500028056,0.626788914,0.451954302,0.813060246,0.088886062,0.500003867,273,0.765078358,0.493018943
56,Georgetown University,Washington,29.575,Washington,www.georgetown.edu,2,DC,1,11,2,1,96,1827,0.105672298,0.494908186,0.678966533,0.436373685,0.769466449,0.043412938,0.500003607,273,0.764062056,0.484064599
