Rank,Institution Name,City location of institution_x,Amenities,Civic,Demographics,Econ,Education,Health,Housing,Infrast.,LivScore,Livability Rank,City location of institution_y,Institution's internet website address (HD2016),Control of institution (HD2016),State abbreviation (HD2016),Level of institution (HD2016),Degree of urbanization (Urban-centric locale) (HD2016),Institutional category (HD2016),Bachelor's degree (IC2007),Grand total (C2016_A  First major  Grand total  Bachelor's degree),Full-time retention rate  2015 (EF2015D),AgeDiversityIndex,GenderDiversityIndex,RaceDiversityIndex,IncomeDiversityIndex,MajorDiversityIndex,SAT_ACT_DiversityIndex,InstateOutstateDiversityIndex,Average Graduation rate - bachelor's degree within 200% of normal time (GR200_15),AdmissionsDiversityIndex,ApplicantsDiversityIndex
86,Rochester Institute of Technology,Rochester,59,73,53,63,63,77,69,47,695,1,Rochester,www.rit.edu/,2,NY,1,21,2,1,2483,89,0.111194718,0.436268008,0.64034578,0.467100562,0.829071549,0.030613197,0.500004709,164,0.762671918,0.428093289
387,University of Wisconsin-La Crosse,La Crosse,59,61,14,55,44,86,66,59,612,85,La Crosse,www.uwlax.edu,1,WI,1,13,2,1,1869,85,0.080545981,0.492305688,0.207678042,0.456909478,0.847301998,0.103656775,0.480541138,171,0.649875465,0.473503813
749,Fayetteville State University,Fayetteville,66,52,44,57,73,66,39,44,607,99,Fayetteville,www.uncfsu.edu,1,NC,1,12,2,1,954,79,0.493121301,0.434370828,0.560313515,0.473341047,0.828471122,0.085802569,0.46452036,78,0.511747742,0.460706365
169,Lehigh University,Bethlehem,51,56,55,41,57,62,59,61,609,94,Bethlehem,www.lehigh.edu,2,PA,1,13,2,1,1229,95,0.010197821,0.494031079,0.601237558,0.44093635,0.745707757,0.044005494,0.500003964,246,0.673704883,0.490701553
614,University of Portland,Portland,53,70,34,57,51,77,53,74,646,23,Portland,https://www1.up.edu,2,OR,1,11,2,1,914,92,0.050651377,0.485447878,0.598987366,0.455307722,0.815557801,0.079954426,0.500004239,221,-0.707777965,0.451934978
1257,Albany State University,Albany,51,65,49,40,57,70,51,74,632,46,Albany,https://www.asurams.edu/,1,GA,1,13,2,1,546,78,0.330702252,0.451498979,0.209461541,0.458619582,0.806566607,0.107384906,0.474129926,104,0.450717592,0.418432354
710,Columbia College,Columbia,44,70,71,66,67,56,55,44,649,18,Columbia,www.columbiasc.edu/,2,SC,1,12,2,1,258,76,0.500334964,0.354268433,0.58107246,0.457742581,0.867973856,0.113738473,0.500005928,117,0.180584698,0
3,Harvard University,Cambridge,51,67,48,49,64,70,44,70,641,28,Cambridge,www.harvard.edu,2,MA,1,12,2,1,1810,98,0.327328451,0.499931558,0.735027585,0.441984846,0.862950733,0.088527604,0.500003737,282,0.945230832,0.498969044
691,Hood College,Frederick,55,60,68,65,71,41,59,51,645,24,Frederick,www.hood.edu,2,MD,1,13,2,1,317,75,0.210028889,0.469019109,0.558945642,0.46507882,0.872380952,0.08816088,0.500004713,188,0.163136926,0.485650838
1240,La Roche College,Pittsburgh,62,54,43,50,62,74,56,69,648,20,Pittsburgh,www.laroche.edu,2,PA,1,21,2,1,298,78,0.363581443,0.492959059,0.581317736,0.469930749,0.830397404,0.087175526,0.500006016,123,0.552465336,0.500075695
,The College of Saint Scholastica,Duluth,66,63,20,38,65,86,62,46,617,74,Duluth,www.css.edu,2,MN,1,13,2,1,816,84,0.422657586,0.412562627,0.331626878,0.470780172,0.652983069,0.096090254,0.500005231,196,-0.215883507,0.455768322
1236,University of Mary,Bismarck,56,75,47,52,69,74,73,39,667,10,Bismarck,www.umary.edu/,2,ND,1,41,2,1,409,75,0.225507036,0.459188362,0.346330949,0.477872243,0.7264317,0.080969252,0.500009045,14,0.641686867,0.466137684
79,University of Rochester,Rochester,59,73,53,63,63,77,69,47,695,1,Rochester,www.rochester.edu,2,NY,1,12,2,1,1661,96,0.115254992,0.500079126,0.704560152,0.454217062,0.877217516,0.08816088,0.500003692,249,0.510141557,0.499393539
1374,Methodist University,Fayetteville,66,52,44,57,73,66,39,44,607,99,Fayetteville,www.methodist.edu,2,NC,1,12,2,1,325,59,0.380733616,0.495895239,0.711634889,0.466542714,0.764118283,0.084553726,0.500004701,104,0.565894525,0.456034411
1012,Nebraska Wesleyan University,Lincoln,56,61,43,48,61,68,67,45,620,68,Lincoln,www.nebrwesleyan.edu,2,NE,1,11,2,1,416,79,0.312128736,0.476717176,0.300546761,0.457676747,0.857475466,0.120834694,0.500005599,192,0.445542428,0.495862551
653,North Central College,Naperville,53,82,35,59,77,59,51,45,635,37,Naperville,northcentralcollege.edu,2,IL,1,12,2,1,669,80,0.099862909,0.497790949,0.489249964,0.449623655,0.814133317,0.103083138,0.500005016,180,0.063224624,0.492431368
439,Skidmore College,Saratoga Springs,53,75,41,34,71,59,49,57,607,98,Saratoga Springs,www.skidmore.edu/,2,NY,1,23,2,1,617,94,0.006058262,0.475937238,0.574195538,0.451817257,0.855543192,0.090659541,0.500003731,255,-0.195651051,0.4620379
401,Union College,Lincoln,56,61,43,48,61,68,67,45,620,68,Lincoln,www.ucollege.edu,2,NE,1,11,2,1,148,71,0.205859619,0.478263235,0.621512917,0.457742581,0.792827356,0.116236722,0.500007362,106,0.080027582,0.469689242
1177,University of Sioux Falls,Sioux Falls,60,61,52,52,58,72,68,39,635,39,Sioux Falls,www.usiouxfalls.edu/,2,SD,1,12,2,1,288,72,0.280019263,0.483348831,0.181219423,0.470599497,0.710859729,0.118522681,0.500006446,130,-0.099519579,0.469344567
1008,Viterbo University,La Crosse,59,61,14,55,44,86,66,59,612,85,La Crosse,www.viterbo.edu,2,WI,1,13,2,1,459,78,0.401237758,0.374396786,0.178572802,0.47031294,0.743387896,0.111129291,0.500006551,128,-0.034133707,0.455946013
752,Augustana University,Sioux Falls,60,61,52,52,58,72,68,39,635,39,Sioux Falls,www.augie.edu,2,SD,1,12,2,1,341,84,0.090062429,0.481711097,0.274400101,0.454675337,0.841911056,0.115900658,0.500006124,181,0.575405283,0.496919453
,California State University-Channel Islands,Camarillo,60,67,58,56,47,54,63,46,620,66,Camarillo,www.csuci.edu,1,CA,1,22,2,1,1491,79,0.323071938,0.455379183,0.658099326,0.458667248,0.855451559,0.08816088,0.485733122,129,-0.550292519,0.431061242
1,Massachusetts Institute of Technology,Cambridge,51,67,48,49,64,70,44,70,641,28,Cambridge,web.mit.edu/student/,2,MA,1,12,2,1,1111,98,0.013604825,0.496894901,0.764275637,0.458917301,0.812316556,0.090722234,0.500003818,271,0.8891067,0.422804135
