Institution Name,City location of institution,Institution's internet website address (HD2016),Control of institution (HD2016),State abbreviation (HD2016),Level of institution (HD2016),Degree of urbanization (Urban-centric locale) (HD2016),Institutional category (HD2016),Bachelor's degree (IC2007),Full-time retention rate  2015 (EF2015D),Grand total (C2016_A  First major  Grand total  Bachelor's degree),AgeDiversityIndex,GenderDiversityIndex,RaceDiversityIndex,IncomeDiversityIndex,MajorDiversityIndex,SAT_ACT_DiversityIndex,InstateOutstateDiversityIndex,Average Graduation rate - bachelor's degree within 200% of normal time (GR200_15),AdmissionsDiversityIndex,ApplicantsDiversityIndex
California State University-Chico,Chico,www.csuchico.edu,1,CA,1,13,2,1,84,3682,0.238956024,0.498834145,0.699627913,0.449224012,0.852028912,0.113117773,0.48202876,133,0.403140087,0.489020532
California State University-Los Angeles,Los Angeles,www.calstatela.edu,1,CA,1,11,2,1,84,5329,0.382468509,0.485656525,0.619346372,0.455270846,0.838575117,0.106678038,0.482209427,89,0.233210535,0.482612065
California State University-Northridge,Northridge,www.csun.edu,1,CA,1,11,2,1,79,7714,0.318112655,0.497178843,0.740004365,0.445375399,0.847471758,0.112085762,0.47710102,111,0.777469051,0.49132757
Eastern Michigan University,Ypsilanti,www.emich.edu,1,MI,1,21,2,1,74,3333,0.35356846,0.483908877,0.533255731,0.459252408,0.831590479,0.078767075,0.466792503,93,0.539207714,0.478940136
Eastern Washington University,Cheney,www.ewu.edu,1,WA,1,31,2,1,78,2453,0.333059077,0.496772774,0.549478512,0.467548045,0.845412537,0.084102545,0.463103045,114,0.804094733,0.484305042
Florida Atlantic University,Boca Raton,www.fau.edu/,1,FL,1,13,2,1,78,5639,0.393485664,0.492023562,0.702784483,0.455567696,0.841244271,0.086219513,0.476776533,103,0.751892296,0.485591261
George Mason University,Fairfax,https://www2.gmu.edu/,1,VA,1,21,2,1,87,5127,0.340507328,0.49971203,0.729350078,0.452368122,0.861375382,0.119468871,0.461812373,180,0.62171118,0.492338031
Grand Valley State University,Allendale,www.gvsu.edu,1,MI,1,21,2,1,84,4364,0.164002257,0.485223695,0.31327442,0.466316265,0.829693411,0.113915246,0.495447495,175,0.489967253,0.471169498
Indiana University-Purdue University-Indianapolis,Indianapolis,www.iupui.edu,1,IN,1,11,2,1,74,4026,0.353598921,0.491987284,0.497941497,0.46535627,0.817753508,0.088522407,0.450008989,103,0.734657961,0.482701833
Kansas State University,Manhattan,www.k-state.edu,1,KS,1,13,2,1,83,3816,0.179372229,0.499136943,0.424326731,0.458311384,0.794184875,0.08816088,0.471477926,149,0.823055685,0.500031665
Kennesaw State University,Kennesaw,www.kennesaw.edu,1,GA,1,21,2,1,78,4686,0.342600673,0.499787608,0.613835237,0.454745008,0.844887546,0.084327835,0.485516026,106,0.910499034,0.498846747
Kent State University at Kent,Kent,www.kent.edu,1,OH,1,21,2,1,81,5044,0.224079437,0.479904943,0.472737419,0.459388936,0.817502412,0.08677812,0.490092123,135,0.518986765,0.46450545
Missouri State University-Springfield,Springfield,www.missouristate.edu,1,MO,1,12,2,1,78,2976,0.219906362,0.48618352,0.356945617,0.449956944,0.775775763,0.113823013,0.489230346,139,0.7364427,0.467404816
Ohio University-Main Campus,Athens,www.ohio.edu,1,OH,1,32,2,1,79,6402,0.353436664,0.482471787,0.356289912,0.456826593,0.691333006,0.087189387,0.488643759,181,0.545471867,0.497465861
Oklahoma State University-Main Campus,Stillwater,www.okstate.edu/,1,OK,1,32,2,1,81,4343,0.201502238,0.499769925,0.54070734,0.451890728,0.726403919,0.117002573,0.472551257,155,0.80935234,0.499440083
Pennsylvania State University-Main Campus,University Park,www.psu.edu/,1,PA,1,13,2,1,93,10984,0.047467731,0.497199059,0.54469462,0.458869619,0.862173699,0.092333587,0.485826493,236,0.685628012,0.499954901
San Diego State University,San Diego,www.sdsu.edu,1,CA,1,11,2,1,89,6840,0.263644164,0.496094449,0.769913165,0.447490957,0.843909131,0.118379768,0.484968214,169,0.555554966,0.489592303
University of Arizona,Tucson,www.arizona.edu,1,AZ,1,11,2,1,80,6915,0.146726415,0.499624893,0.67039595,0.45621719,0.874876577,0.08816088,0.455248527,164,0.557613211,0.499000779
University of California-Berkeley,Berkeley,www.berkeley.edu,1,CA,1,12,2,1,96,7457,0.11512041,0.499173677,0.777235334,0.445239553,0.846962541,0.085349342,0.463991672,256,0.759199674,0.500006334
University of Florida,Gainesville,www.ufl.edu/,1,FL,1,12,2,1,96,8215,0.08801569,0.494655917,0.659080532,0.453795025,0.87171628,0.090725928,0.440872362,240,0.763381887,0.490712484
University of Illinois at Chicago,Chicago,www.uic.edu,1,IL,1,11,2,1,81,3912,0.185223839,0.500026468,0.76261564,0.454386231,0.8557706,0.079199887,0.48446701,146,0.632565162,0.495934178
University of Minnesota-Twin Cities,Minneapolis,twin-cities.umn.edu/,1,MN,1,11,2,1,93,7687,0.184252815,0.499551474,0.547257453,0.456338597,0.882069047,0.087752961,0.48828045,206,0.674724546,0.498049956
University of Nevada-Las Vegas,Las Vegas,www.unlv.edu/,1,NV,1,12,2,1,74,3892,0.377441364,0.493068278,0.770614448,0.458246518,0.774466208,0.079490962,0.472688392,107,0.867360149,0.487877039
